,,,KELJASH HERMANO,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,META DATA,31-May,,,,
,,,TOTAL DELIVERED,"14,362,502.83",,,,
,,,TOTAL ORDERS,"35,655",,,,
,,,TOTAL COG,"1,250,869.30",,,,
,,,TOTAL OPEX,"₱1,745,746.41",,,,
,,,CSRs SALARY,"₱220,926.88",,,,
,,,,"₱263,756.63",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,MIGHTY MAGNESIUM (MMC),ANTI-STROKE,AIRZEN,ANTI-BRAIN,ANTI-CANCER,TOTAL
DELIVERED,,,"₱125,585.00","194,794.99","₱1,083,130.99","₱56,823.99","₱2,956,139.91","4,416,474.88"
COG,,,"4,700.00",0,0,"8,436.00","102,400.00","115,536.00"
DELIVERY FEE OF COG,,,250,0,0,"1,000.00","1,500.00","2,750.00"
,,,,,,,,
TOTAL PARCELS,"11,156.00",,304,476,"2,740.00",153,"7,483.00","11,156.00"
,,,,,,,,
TOTAL  DELIVERED,"₱4,416,474.88",,"125,585.00","194,794.99","1,083,130.99","56,823.99","2,956,139.91","4,416,474.88"
Less:,,,,,,,,
AdSpent,"1,417,150.00",,"28,150.00","163,000.00","405,000.00","18,000.00","803,000.00","1,417,150.00"
Shipping Fee,"748,926.00",,"22,981","37,319.00","194,233.00","11,926.00","482,467.00","748,926.00"
COD Fee,"₱88,329.50",,"₱2,511.70","₱3,895.90","₱21,662.62","₱1,136.48","₱59,122.80","₱88,329.50"
VAT,"₱10,599.54",,₱301.40,₱467.51,"₱2,599.51",₱136.38,"₱7,094.74","₱10,599.54"
INTERN % OF SHARE,30.75%,,100.00%,100.00%,100.00%,100.00%,100.00%,
COG,"₱384,642.77",,"4,700.00",0,0,"8,436.00","102,400.00","115,536.00"
DELIVERY FEE OF COG,"₱2,750.00",,250,0,0,"1,000.00","1,500.00","2,750.00"
TOTAL:,"₱2,652,397.81",,"58,894.10","204,682.41","623,495.13","40,634.86","1,455,584.53","2,383,291.04"
,,,,,,,,
Gross Profit,"₱1,764,077.07",,"66,690.90","-9,887.42","459,635.86","16,189.13","1,500,555.38","2,033,183.84"
,,,,,,,,
Less:,,,,,,,,
INTERN % OF SHARE (OPEX),31.29%,,0.82%,1.29%,7.41%,0.41%,20.24%,
OPEX,"₱546,222.04",,"14,352.23","22,472.58","129,358.95","7,223.33","353,282.12","526,689.21"
30% Gencys,"₱529,223.12",,"20,007.27",,"137,890.76","4,856.74","450,166.61","612,921.38"
,31.29%,,,,,,,
SALARY - CSR,"₱79,575.00",,"2,168.41","3,395.28","19,544.24","1,091.34","53,375.74","79,575.00"
13th Month,"₱7,531.26",,205.23,321.34,"1,849.74",103.29,"5,051.67","7,531.26"
SUBSCRIPTION,"15,295.98",,416.81,652.64,"3,756.81",209.78,"10,259.93","15,295.98"
CHAT FUEL,₱0.00,,0,0,0,0,0,0
Sticker / Assembly Fee,"₱1,575.20",,195.25,0,"1,379.95",0,0,"1,575.20"
Other Expenses - Univoice,₱0.00,,532.63,852.21,"9,161.26",213.05,"26,418.53","37,177.68"
Previous month Loss:,₱0.00,,,,,,,0
NET PROFIT,"₱584,654.47",,"28,813.06","-37,581.46","156,694.16","2,491.61","602,000.77","752,418.14"
,,,,,,,,
COMMISSION,,,MIGHTY MAGNESIUM,ANTI-STROKE,AIRZEN,ANTI-BRAIN,ANTI-CANCER,TOTAL
META 75%,,,"21,609.80",,"117,520.62","1,868.71","451,500.58","592,499.70"
INTERN OWN 15% -,,,"4,321.96",,"23,504.12",373.74,"90,300.12","118,499.94"
INTERN RUN 10%,,,"2,881.31",,"15,669.42",249.16,"60,200.08","78,999.96"
,,,,,,,,"789,999.60"
,,,,,,,,
,,,,,,,,
,,,KELJASH HERMANO,,,,,
,,,COMMISSION,MAY COMMSS,,,,
,,,META 75%,"592,499.70",,,,
,,,KELJASH RUN 10%,"78,999.96",,,,
,,,KELJASH OWN 15%,"118,499.94",,,,
,,,,,,,,
,,,TOTAL,"789,999.60",,,,
